;; -*- coding:utf-8 -*-
[Comment]

[Parameter]
first-char=zyxwvutsrqponmlkjihgfedcba
total-char=zxwldnosqkirgcyetpjfubvmha
lib=eim-cj
other-files=wbpy.txt
page-length=3

[Punctuation]
{ 『
| ÷
} 』
~ ～
` ・
! ！
# ＃
$ ￥
% ％
& ※
( （
) ）
* ×
+ ＋
, ，
- －
. 。
/ 、
: ：
; ；
< 《
= ＝
> 》
? ？
@ ◎
[ 【
] 】
^ ……
_ ──
" “ ”
' ‘ ’

[Table]
a 日 曰
aa 昌 昍
aaa 晶 晿
aaah 曑
aaam 曐 曡
aaav 曟
aabuu 覸
aaf 焸
aahaf 鷼
aahm 暒
aajv 暥
aamh 暘
aamj 晘
aaph 晹
aapv 暍
aate 曝
aayf 暻
ab 明 冐
abac 暝
abbe 暧 曖
abbt 盟
abbuu 覵
abf 焽
abgr 晭
abhaf 鷳
abik 猒
abjcm 曌
abjj 暈 暉
abkq 晕 晖
abme 暖
abmgi 琞
abmr 晍
abms 勗
abof 暩
abou 暚
abt 昷
abu 冒
abuu 晛
aci 昖
acim 暡
acmbc 顕
acnh 晜
acsh 昐
ad 杲
add 晽
adhaf 鷴
adhl 晰
adi 时
adj 昩
admq 暐
adwf 暕
aenl 鄤
af 炅 炚
afbf 曭
afdq 暽
aff 晱
afhhh 影
afmbc 顥 顯
afmbo 颢
afmu 晃 晄
afno 歞
ag 圼
agbt 曀
agdi 時
agg 晆
aggu 曉
agrr 暿
ahaj 暤 暭
ahbr 晌 晑
ahbu 眉
ahe 昄
ahey 昸
ahgf 曛
ahgr 晧
ahhaf 鶍
ahhl 昴
ahln 剔
ahml 昕
ahog 暀
ahok 敭
ahoo 暰
ahor 晷
ahp 惖
ahqm 星 甠
ahqo 昳
ahs 昈
ahsk 曒
aht 昇
ahud 暞
ahuj 曍
ahvl 昂
ahxu 晲
ahye 敡
ahyr 晷
ai 旷
aice 晙
aihaf 鵖
aihs 晟 晠
aii 昿
aijb 晡
aikp 昽
aimvu 既
aine 昹
ais 昈
aisl 即
ait 昪
aitc 曠
aj 早 旪
ajb 昁
ajbj 暔
ajd 昧
ajii 暷
ajka 暏 暑
ajkf 曢
ajmm 暄
ajmu 晥
ajnu 晼
ajpu 晓
ajtu 暁
ajv 晏
ak 旲
akcf 暸
akkb 晞
akll 昦
aklu 晻
akms 晇
akn 旯
albk 映
alg 堲
alln 昲
almo 晀 晁
almy 暃
alnc 曊
am 旦
amam 晅
ambb 曘
ambc 暊
ambg 曤
ambi 曇 曧
amcw 晒
amd 旴
amg 旺
amhaf 鴠
amhqu 毾
ami 戥
amig 晊
amj 旰 旱
amk 昊
amks 昮
ammi 昙
ammk 晸
ammp 曬
ammr 晤
ammv 晨
amo 昃
amob 昞 昺
amru 鼂 鼌
amsh 昜
amsl 昻
amtb 曞
amwg 量
amwj 曋
amym 昰
amyo 是
an 門
ana 間
anaa 閶
anan 闁
anasm 闒
anau 冕 晚 晩
anayk 閺
anb 閒
anbbe 閿
anbck 闝
anbuc 閴
anbue 闅
anbuk 闃
ancr 曕
ancru 閱 閲
and 閑
andh 閉
andmq 闈
andwf 闌
ane 閖
anefh 閯
anehr 闊
