;; -*- coding: utf-8 -*-
[Comment]
纯净二笔
-----------------------------------------
二笔输入法规范编码  作者：承谦堂主	
生成日期:2008-1-25 14:42
-----------------------------------------

[Parameter]
first-char=[zyxwvutsrqponmlkjihgfedcba
total-char=;vqhfent/oylk.umczpgxwjbdsir,a
page-length=3
lib=eim-eb
other-files=ebpy.txt

[Punctuation]
{ 『
| ÷
} 』
~ ～
` ・
! ！
# ＃
$ ￥
% ％
& ※
( （
) ）
* ×
+ ＋
, ，
- －
. 。
/ 、
: ：
< 《
= ＝
> 》
? ？
@ ◎
] 】
^ ……
_ ——
" “ ”
' ‘ ’

[Table]
a 安
a,r 嫒
a,ri 嫒
a,s 媪
a,sd 媪
aadb 嗷嗷待哺
aajj 安安静静
aaww 安安稳稳
aaxx 安安心心
ab 艾
abbd 按兵不动
abdg 安邦定国
abjb 按部就班
abp 蔼
abps 蔼
abr 艾
abss 爱不释手
abzb 艾滋病
ac 澳
acmu 澳门
acrm 爱财如命
acw. 澳
aczc 澳洲
ad 肮
adcc 暗渡陈仓
adk 腌
adku 腌
adly 澳大利亚
ado 胺
ado/ 胺
adss 安第斯山
adtj 安定团结
adwn 安度晚年
adyt 肮
adzd 肮脏
aebs 阿尔卑斯
aeby 阿尔巴尼亚
aejy 阿尔及利亚
aets 阿尔泰山
af 俺
afet 埃菲尔铁塔
afgg 傲骨
afh 傲
afha 傲
afku 俺
afmf 俺们
afmo 傲慢
afqq 傲气
afrt 傲然
afsj 安分守己
afsp 傲视
ag 凹
agb, 岸边
agcx 凹槽
agdc 黯淡
agdv 凹地
agg 盎
aggs 盎
aggz 凹
agh 岸
aghx 岸
aghy 凹痕
agjy 爱岗敬业
agmk 凹面
agrq 爱国热情
agrs 爱国人士
agrt 盎然 黯然
agsa 岸上
agsf 爱国守法
agsn 盎司
agta 凹凸
agxm 凹陷
agy 黯
agyd 爱国运动
agyi 黯
agzy 爱国主义
ah 熬
ah/ 骜
ah/z 骜
ahby 哀鸿遍野
ahd; 熬到
ahf 鏊
ahfh 鏊
ahg 螯
ahgj 螯
ahgw 爱护公物
ahj 聱
ahja 聱
ahk 獒
ahko 獒
ahoo 熬
ahp 遨
ahpv 遨
ahq 敖
ahqc 爱恨情仇
ahqr 敖
ahr 瑷
ahri 瑷
aht 鳌
ahtg 鳌
ahyc 遨游
ahyy 熬夜
ahzj 熬煮
aj 鞍
ajah 挨家挨户
ajgz 鞍钢
ajlh 安家落户
ajly 安居乐业
ajm/ 鞍马
ajmd 阿基米德
ajo/ 鞍
ajsg 鞍山
ajsr 暗箭伤人
ajss 鞍山市
ak 碍
akb 砹
akbr 砹
akcy 鹌鹑
aksh 碍
aksj 碍事
akt 鹌
aktp 鹌
akyg 碍眼
akyh 碍于
al 啊
al. 唉
al.q 唉
alb 哎
albl 爱理不理
albr 哎
albs 奥林巴斯
albx 呆板
albz 阿拉伯数字
alfp 按劳分配
alh 嗷
alha 嗷
alhl 啊哈
ali 吖
alik 嗌
alix 吖
alk 嗄
alkg 嚣 嗄
almz 啊
alp 霭
alpk 奥林匹克
alps 霭
alqc 按劳取酬
alr 嗳
alri 嗳
alsj 阿拉斯加
alx 呆
alyl 哎呀 哎哟
alz 呵
alzl 呵
am 阿
amag 阿猫阿狗
ambl 阿波罗
ambr 阿爸
amcz 阿昌族
amds 哀莫大于心死
amef 阿尔法
amet 阿尔泰
amf, 阿飞
amfh 阿富汗
amgs 安民告示
amgt 阿根廷
amgz 阿哥
ami 隘
amik 隘
amkl 隘口
amlb 阿拉伯
amlh 阿罗汉
amlq 阿联酋
amm, 阿妈
amms 阿曼
ammu 阿门
amnz 爱莫能助
ampc 阿婆
ampq 阿帕奇
amrz 爱民如子
amtq 澳门特别行政区
amwl 傲慢无礼
amxl 阿莫西林
amy, 阿姨
amyp 阿谀
amzl 阿
anbz 按捺不住
ao 案
ao,z 安
aobf 安保
aobh 安邦
aobx 案板
aocu 安插
aod; 安顿
aodk 安达
aodo 安定
aody 安度
aof, 案发
aofr 安分
aoft 案犯
aofu 安抚
aofy 安放
aogl 安哥拉
aohe 安徽
aoho 懊悔
aohs 安徽省
aojf 案件
aojh 安静
aoji 案卷
aojj 安吉
aojn 安居
aojo 安家
aojs 安监
aojx 安检
aoky 安康
aolf 案例
aolh 安理会
aols 安乐死
aolt 安乐
aolw 安乐窝
aomg 安眠
aomn 安民
aomp 安谧
aomy 安眠药
aon. 安能
aono 安宁 懊恼
aopb 安排表
aopu 安排
aopv 安培
aoqb 安全部
aoqe 安琪儿
aoqf 安全
aoqg 安全感
aoqh 安琪
aoqj 安全局
aoqm 安全帽
aoqo 案情
aoqq 安全区
aoqt 安全套
aoqx 安全性
aoqy 安庆
aort 安然
aosa 安上
aosg 安睡
aosj 懊丧
aosp 安神
aosq 安适
aosw 安身
aoto 案头
aow 懊
aow. 懊
aown 安慰
aowq 安稳
aowt 安危
aox 案
aoxp 安心 安详
aoxs 安歇
aoxu 安闲
aoxw 安息
aoxy 安享
aoym 安阳
aoyt 安逸
aozb 安葬
aozf 案值
aozg 安置
aozm 案子
aozy 安装
ap 袄
apqr 袄
apsy 谙熟
apy 谙
apyi 谙
aq 矮
aqbw 安全保卫
aqbz 安全保障
aqcs 安全措施
aqdy 安全第一
aqg 岙
aqgf 矮个
aqgh 按期归还
aqgx 岙
aqgz 安全工作
aqhf 氨化
aqjc 安全检查
aqjj 氨基
aqjs 氨基酸
aqjy 安全教育
aqkk 安全可靠
aqmh 鞍前马后
aqo 氨
aqo/ 氨
aqpd 矮胖
aqqd 矮
aqqq 氨气
aqqv 矮墙
aqsc 安全生产
aqsg 氨水
aqss 安全设施
aqsy 安全使用
aqwt 安全问题
aqxd 矮小
aqxs 安全系数
aqxt 安全系统
aqyh 安全隐患
aqzm 矮子
ar 爱
arc/ 爱巢
arcl 爱吃
arcq 爱称
ardh 爱德华
ardj 爱戴
ards 爱迪生
arel 爱尔兰
arfu 爱抚
argg 爱国
argz 爱国者
arh, 爱好
arhc 爱河
arho 爱恨
arhu 爱护
arhz 爱好者
arjo 爱家
ark. 爱
arlf 爱侣
arlo 爱怜
arlx 爱立信
arly 爱恋
armb 爱慕
armi 爱美
armn 爱民
armz 爱面子
arn, 爱女
arnf 爱你
arq; 爱妻
arqk 爱犬
arqo 爱情
arrf 爱人
arrm 爱人民
arsa 爱上
arsp 爱神
arss 黯然失色
arts 安如泰山
arwq 爱我
arwy 安然无恙
arxh 黯然销魂
arxo 爱惜
arxp 爱心
arxx 爱学习
aryc 爱液
aryy 爱意
arzb 爱滋病
arzg 爱祖国
arzo 爱憎
as 暗
asaj 碍手碍脚
asas 暗暗
asbj 阿塞拜疆
ascb 暗藏
ascc 暗潮
asct 暗处
ascy 暗疮
asdc 暗淡
asdl 暗地里
asdv 暗地
asey 埃塞俄比亚
asfp 暗访
asgg 昂贵
ash/ 暗红
ashf 暗含
ashl 暗号
asho 暗害
asjk 暗礁
asjm 爱斯基摩
asjq 暗箭
askb 昂首阔步
aslc 暗流
aslm 安身立命
asly 暗恋
asms 暧昧
asny 爱沙尼亚
aspl 阿司匹林
asqb 暗送秋波
asql 暗器
asr 暧
asri 暧
asrt 昂然
assf 暗伤
assh 暗示
assi 昂首
assq 暗算
assr 暗杀
assz 暗示着
ast 昂
astm 昂
astq 唉声叹气
astx 昂首挺胸
aswc 按时完成
asxj 暗喜
asxq 暗箱
asxx 暗想
asyi 暗
asyl 暗喻
asys 暗影
asyu 昂扬
asyy 暗夜
aszg 暗中
aszw 暗自
atbp 凹凸不平
ath 犴
athx 犴
atsj 按图索骥
au 按
au. 挨
au.q 挨
au/ 拗
au/p 拗
aubl 按比例
auca 按此
aud; 按到
audu 挨打
auet 挨饿
augd 按规定
augf 挨个
augl 按惯例
auje 挨近
aujh 按计划
auju 按揭
aujz 按键
auk 捱
aukl 拗口
aukv 捱
aulh 按理
auls 按理说
auml 挨骂
aumy 按摩
aunq 按年
aunu 按捺
aunz 按钮
auo/ 按
auqj 按期
aurs 按日
ausp 按说
auss 按时
auxj 按下
auxl 按需
auxy 按序
auy 揞
auyd 按月
auyi 揞
auyk 按压
auyp 按语
auzf 按住
auzi 按着
auzj 挨整
auzs 按照
auzu 挨揍
auzy 按章
av 埃
av.q 埃
av/ 坳
av/p 坳
avjt 埃及
avk 埯
avku 埯
aw 奥
aw. 翱
aw.; 翱
awaw 皑皑
awdg 奥迪
awdl 奥地利
awg 皑
awgg 皑
awjw 爱屋及乌
awkv 奥
awm, 奥妙
awmq 奥秘
awsw 奥申委
awtr 暗无天日
awwh 奥委会
awxi 翱翔
awyc 奥运村
awyh 奥运
ax 桉
axcz 暗箱操作
axfp 按需分配
axgz 安心工作
axjx 暗下决心
axo/ 桉
axsx 桉树
axsy 暗香疏影
ay 哀
ayby 癌变
aycq 哀愁
aydo 哀悼
ayf 鏖
ayfh 鏖
aygd 按有关规定
ayh 廒
ayha 廒
ayhl 哀号
ayjl 哀叫
ayk 庵
ayku 庵
ayl 癌 哀
ayll 癌
ayml 哀鸣
ayqj 哀求
aysf 哀伤
aysg 哀思
ayst 爱因斯坦
